pattern,translation,tags,parents,output
*/VV/*+어/EC/*+계시/VX/*,,honorific,-계시다,*/VV/*
*/VV/*+어/EC/*+있/VX/*,,,-있다,*/VV/*
*/VV/*+어/EC/*+오/VX/*,,,-오다,*/VV/*
*/VV/*+어/EC/*+오/VV/*,,,-오다,*/VV/*
*/VV/*+어/EC/*+가/VX/*,,,-가다,*/VV/*
*/VV/*+어/EC/*+가/VV/*,,,-가다,*/VV/*
*/VV/*+어/EC/*+나가/VX/*,,,-나가다,*/VV/*
*/VA/*+나/EC/*+보/VX/*,,,-나 보다,*/VV/*
*/VV/*+나/EC/*+보/VX/*,,,-나 보다,*/VV/*
*/VA/*+었/EP/*+나/EC/*+보/VX/*+어/EF/*,seems that was ~,,-나 보다
*/VA/*+어/EC/*+보이/VV/*,,seems,-보이다,*/VV/*
*/VV/*+ㄹ/ETM/*+만/NNB/*+하/XSA/*,,,-만하다,*/VA/*
*/NN/*+스럽/XSA/*,,,-스럽다,*/VA/*
*/NN/*+같/VA/*,,,-같다,*/VA/*
*/NN/*+하/VV/*,,,하다,*/VV/*
*/NN/*+하/XSV/*,,,하다,*/VV/*
*/NN/*+하/XSA/*,,,하다,*/VA/*
*/NN/*+되/XSV/*,,passive,-되다,*/VV/*
*/NN/*+당하/XSV/*,,passive,당하다,*/VV/*
*/NN/*+시키/XSV/*,,causative,-시키다,*/VV/*
*/NN/*+드리/VV/*,,"favour,honorific",드리다,*/VV/*
*/NN/*+이/XSN/*,,,,*/NN/*
시/EP/*,,honorific
*/NN/*+님/NNG/*,,,,*/NN/*+님/XSN/*
님/XSN/*,,"person,honorific"
들/XSN/*,,plural
*/NN/*+분/NNB/*,,honorific,분,*/NN/*
*/NN/*+분/XSN/*,,honorific,분,*/NN/*
*/NN/*+에/JKB/*,at/to ~
*/VV/*+ㄹ/ETM/*,will ~
*/VV/*+는/ETM/*,~ing
*/VA/*+ㄴ/ETM/*,~
*/NN/*+의/JKG/*,~'s,posessive
*/NP/*+의/JKG/*,~'s,"pronoun,posessive"
*/NN/*+네/XSN/*,~'s,posessive
*/NP/*+네/XSN/*,~'s,posessive
*/NN/*+네/XSN/*+도/JX/*,~'s also,posessive
*/NP/*+네/XSN/*+도/JX/*,~'s also,posessive
*/NN/*+에서/JKB/*,from ~
*/NN/*+에서/JKB/*+만/JX/*,only from ~
*/VV/*+어요/EF/*,~
*/VV/*+ㄴ다/EF/*,~
*/VV/*+ㄴ다/EC/*,~
*/NN/*+이/VCP/*+습니다/EF/*,is ~
*/VA/*+은/ETM/*,~
*/VV/*+지/EC/*,not ~
*/VV/*+지/EC/*+ㄴ/JX/*,not ~
*/VA/*+어요/EF/*,~
*/VV/*+ㄴ/ETM/*,that ~ed
*/VA/*+습니다/EF/*,~
*/NN/*+도/JX/*,~ also
*/VV/*+면/EC/*,if/when ~
*/NN/*+로/JKB/*+만/JX/*,only toward/using ~
*/VV/*+었/EP/*+습니다/EF/*,~ed
*/VV/*+어/EC/*,~
*/NN/*+로/JKB/*,toward/using ~
*/NN/*+이/VCP/*+ㅔ요/EF/*,is ~
*/VV/*+기/ETN/*,~ing
*/VV/*+기/ETN/*+ㄴ/JX/*,~ing
*/VV/*+기/ETN/*+만/JX/*,only ~ing
*/VV/*+습니다/EF/*,~
*/VA/*+게/EC/*,so that ~; ~ly
*/VV/*+을/ETM/*,will ~
*/VV/*+었/EP/*+어요/EF/*,~ed
*/VV/*+기/ETN/*+로/JKB/*,toward/using ~ing; decided to ~
*/VV/*+려고/EC/*,in order to ~; intend to ~
*/VV/*+려고요/EC/*,in order to ~; intend to ~
*/VV/*+려고요/EF/*,In order to ~; Intend to ~.
*/VV/*+려다/EC/*,in order to ~; intend to ~
*/VA/*+다/EF/*,~
*/NP/*+하고/JKB/*,~ with
*/NN/*+이/VCP/*+에요/EF/*,is ~
*/VV/*+요/EF/*,~
*/VV/*+게/EC/*,so that ~; ~ly
*/VA/*+고/EC/*,~ and
*/VA/*+지/EC/*,not ~
*/VV/*+다/EF/*,~
*/NN/*+이/VCP/*+다/EF/*,is ~
*/NN/*+이/VCP/*+라고/EC/*,called ~
*/NN/*+이/VCP/*+라고/EC/*+도/JX/*,also called ~
*/VV/*+서/EC/*,"~, so..."
*/VV/*+서/EC/*+도/JX/*,"~ also, so...; even ~, so..."
*/VV/*+어야/EC/*,must ~
*/VV/*+면서/EC/*,while ~
*/NN/*+이/VCP/*+면서/EC/*,while is ~
*/VV/*+는다/EF/*,~
*/VV/*+야/EC/*,must ~
